খুলেনা	Don't open
আইতায়	Itay
ওয়েট	Waite
তিনটি	Three
মৃত্যর	Death
হলিউডের	Hollywood
বলাতে	In saying
সোনা	Gold
প্রথমত	First of all
অপমান	Insults
শ	Sh
বাগংলি	Bagangli
রেস্টুরেন্টের	The restaurant
ট্যালেন্ট	Talent
স্টেশন	Station
সামনেই	Up front
ফিঙ্গার	Finger
ছাড়বো	I'll leave
যাকে	Called
গণধোলাই	Mob lynching
আগ	Ago
তৈরীতে	In making
দেখাতে	Show
ভোগের	Consumption
একটানেই	There is no one
রাখার	Keep
শুকাইয়া	Drying
আদিবাসীরা	Indigenous peoples
লুভানো	Luvano
লাগা	
ব্যাবহারটা	Usage
বিরধী	Oppose
ভেংলা	Vengla
গোসল	Bath
দয়া	Please
ভোগ	Consumption
মহামানব	Great man
রেগুলার	Regular
মুল্লুক	Muluk
উপস্হাপনা	Presentation
আমাকেই	Me.
হেডলাইনে	In the headlines
বাঙালিরা	Bengalis
জোর	Emphasis
তাঁকে	Him
মাত্রা	Strength
এক্সপ্রেসে	On the Express
অস্হির	Asshir
রসমলাইও	Rasmalaio
জ্ঞানও	Knowledge too.
সল্প	Short
রাষ্ট্রটা	The state
হোটেলে	At the hotel
আধা	Half
অনুপেরনা	Unreferenced
ভাবে	How about
হেট	Hate
অবরোধ	Block
ছিরবে	Chirbe
1কোটি	- 10 Million
পোষা	Pets
শিশুর	The baby
এমনই	That's it.
লিখে	Write
কি	The what
গাড়িবাড়ি	The car home
আলীর	Ali's
প্রবাসিরা	Expatriates
ছার	Sir
নায়িকা	Heroine
উঠত	It would rise
পেলনা	Didn't get it
জমার	Deposit
পাঠাইনি	Not sent
হালারে	Halare
কিংবা	Or
কাজকর্ম	Activities
কন্টাক	Contact
প্রতিবিম্ব	Mirror
হদুল	Haddul
মজগ	Mogg
হিসিবে	As
লটারি	Lottery
ঘুরতেছে	Moving around
মোটা	Bold
মিডিয়া	Media
নাগরীক	Citizens
বলেন	Said
সিংারা	Singara
কিদেখি	How do you see it?
দাদাদের	Grandfathers
বিলিন	Beilein
দারিতে	In Dari
ফিট্	Fit
খাটে	On the cot
সুফল	Benefits
স্মার্টনেস	Smartness
গল্লিবয়	Gullyboy
জিবে	Jib
সরকারের	Government
গডিয়ে	Godeye
খবরইতো	The news
চাকুরী	Jobs
স্টোরেজ	Storage
আসবেও	It will come.
দ্বারাও	Also by
অতিদ্রুত	Too fast
খাইয়া	Eat
প্রাথমিক	Primary
পন্য	Products
মজায়	In fun
এক্সপোজার	Exposure
মতন	Like
বগুড়াই	Bograi
বিসিমিল্লাহ	Bismillah
কুত্তালীগের	Dogs
পুরিয়ে	Purye
আওয়ামীলীগকে	To the Awami League
মঙ্গলবার	Tuesday
চাকরির	Job
উত্তক্ত	Bullied
দামি	Expensive
সখনো	Sockpuppets
আন্দাজও	Guesswork, too.
ইচ্ছাটি	The will
এরেঞ্জ	Orange
সাংবাদিকগুলো	Journalists
বস্তার	Sacks
শিক্ষিত	Educated
ফেমিলি	Family
ডেলিভারী	Delivery
আবহাওয়ার	Weather
আউচ	Auch
ইনশাল্লাহ	Inshallah
রেজা	Reza
জনোগনের	Janogan
ওজনে	In weight
পাহাড়ের	The mountains
রহমাতে	In mercy
পুরোটাই	All of
পরিচালানা	Conduct
বেইসা	Beisa
রুড	Rudd
ঝালের	The swing
মেজিষ্টেট	Magistrate
গায়ে	On
সকালটা	Morning
উম্মম	Umm
ইফসা	IFSA
কাল্লা	Kalla
এগুলার	These
পেরে	Per can
বেশ্যাগিরি	Prostitution
বিশৃঙ্খলা	Chaos
পোলাও	Polao
পোষ্টগুলো	Posts
পাদেন	Paden
ফ্রেন্ছ	French
পরিবহন	Transport
তুলছিল	It was picking up
জামায়াতের	Jamaat
বিধান	Provisions
খুটির	The skull
পিটান	Pitan
খালাত	Khalat
এজ	Age
পৌঁছানোর	Reaching
স্টাইলের	Style
ধর্মাবলম্বীদের	Religions
12জন	- 12
আরসালান	Arsalan
চক্রান্তে	In the plot
ডীমের	Dam's
পরিপুর্ন	Complete
কেন্দ্রিক	Based
হেট্রিক	Hetrick
বছরের	Year
ধান্দাবাজ	The hypocrite
মারকেট	Marquette
ট্রাম্পের	Trump
মার্জিত	Elegant
ভীতি	Fear
এসেছিল	It came
খানির	Khani
কচু	Raw
যোমুনা	Yomunna
তফাৎ	Difference
বাড়িটাকে	The house
কুমড়া	Pumpkin
নস্টালজিয়ায়	In nostalgia
রখখক্ক	Rakhchak
জানায়নি	It didn't
চটপটি	Sticky
ডাকের	The call
ভুক	Vook
টেনে	Drag
কেলেঙ্কারির	Scandal
জাতের	Breed
নিনজা	Ninja
খোব	Khob
এক্সিডেন্টের	Accidents
9বসর	- 9 Spring
হাসবেন	Laugh
এছাড়াও	Also
শ্রেনীর	Class
পূন্যভূমিতে	In the Wilderness
সবটাই	All of
স্বপ্নের	Dreams
বাজেটে	In the budget
স্যার	Sir
জুয়ার	Gambling
ঝাঁপাইয়া	Jumping
চাটাচাটি	Licking
আড়াল	Hiding
থাকছেই	There is
সাজেশন	Suggestion
খাইছে	Eaten
হেঁরে	Hey.
মাদারচোত	
বাহ্	Wow.
বাচিনা	Don't survive
এবি	AB
ডিজিটোগ্রাফারের	Digitographer
পিজ্জার	Pizza
নেতাই	The leader
নাশ	Nash
চালু	On
অপিছারদের	The Opichords
জব্বর	Jabbar
বাডি	Buddy
লুকিয়ে	Hidden
ফ্ল্যাকচুয়েট	Flactuate
দিনাজপুরে	In Dinajpur
আদনান	Adnan
তালতলা	Taltala
তোমারই	Yours
সালাগো	Salago
কিচেনে	In the kitchen
পার্টগুলো	Parts
সিগারেট	Cigarettes
হাসব	I'll laugh.
রাখি	Keep
ফ্যেমেলি	Femmeli
ইচ্ছেটা	The will
চেনাই	I know
অনিশ্চিত	Uncertain
কাটবো	I'll cut
বন্ধুত্ব	Friendship
ইন্টারনেটে	Internet
হাশের	Hasher
সোশাল	Social
মহাবিশ্বের	Universe
কমি্	Commiss
মে	May
মশার	Mosquitoes
হয়রে	Maybe
মায়রে	Myre
ক্যসিনো	Casino
ক্যাননের	Canon
পা‌পিষ্ঠদ‌ের	Foot-by-legged
মাজ	Maze
নামধারী	Named
সাবির	Sabir
চালিয়েছে	Carried
প্রতিবাদ	Protest
বাং	Bang
আফটার	After
স্বর্গরাজ্য	Kingdom of Heaven
নরশিন	Narshin
একটুখানিও	Not a bit
অবস্তা	A state of affairs
হয়েছি	I've been
সমূহ	
ডিগ্রিকে	To degree
রিএকশন	Reaction
অসুবিধা	Difficulties
আনতো	Bring it
দুনু	Dunu
ব্যাক্তি	People
নির্জাতীত	Unassuming
রইলেন	Stay
কাউচে	Couche
পরিবেশনার	Performances
আমিই	It's me.
সাহস	Courage
পতিতারা	Prostitutes
গেই	Gaye
সিঁড়িতে	On the stairs
কার্যকরি	Effective
চুষে	Sucking
৩৭	- 37
প্লেইট	Plait
আসেনাই	It didn't come
খাওয়া	Eating
বাকশালের	Bakshal's
ফানা	Fana
রহম	Rahm
চপাইয়া	Chapaya
শিলিগুড়ির	Siliguri
আওয়ামীলিগের	Awami League
অত্যান্ত	Very much
নারায়ণগঞ্জ	Narayanganj
বসবাশ	Bossbash
বস্তির	The slum
মহম্মদ	Mohammed
হারুন	Aaron
গেআন	Gaan
অমানুষ	Non-human
জিলাপির	Zillapir
প্রশাসক	Administrator
খরচই	The cost
আরেকজনরে	Another
খাচেন	Eat
বুঝেনিন	Get it.
হোগায়	Hogay
খেলুন	Play
সবলের	Strong
শিগরে	Soon
এরপরে	After
ওপারের	On the other side
বিরোধি	Oppose
কথাবাত্রা	Talk
কনডম	Condoms
একবারে	At once
জিজ্ঞাসাবাদ	Questioning
যত্নশীল	Caring
আল্লাহ	God
কোনোদিন	Never
লাইনে	Line
রক	Rock
সতী	Sati
অটুট	Unbreakable
মরিস	Morris
ওরিজিনাল	Original
মাজায়	Majay
গেছু	Gechu
হেলথ	Health
বুজিনা	Boozina
লাইফটাও	Life too.
সম্মব	Consensus
রোববার	Sunday
পাম	Pam
ইচ্ছেটাকে	The will
বাচ্চায়	In children
রাখুন	Keep
ইংল্যান্ডের	England
তান্ডব	Vandalism
দেহরক্ষী	Bodyguard
লিখলাম	I wrote
গঠনমূলক	Constructive
শরীরের	The body
মোহাসয়	Mohasy
খাইছেন	Eaten
সব্জি	Vegetables
কুমারখালি	Kumarkhali
ডলে	Dole
এন্ড	And
অল	All
গাল	Cheeks
কার্যকর	Valid
ভাতপায়না	No rice
লাউড	Loud
দিল	Dil
আহার	Food
ঘু	Ghu
সুযোগটা	The opportunity
নিবার	Nibar
মৃত্য	Death
অর্ধাঙ্গিনি	Half-hearted
কেলরি	Kellery
ফাষ্টফুডের	Fast food
রংপুরে	In Rangpur
শেপার্ড	Shepard
অপেক্ষাতে	Waiting
ইন্ডিয়াকে	To India.
আব্দুল্লাহপুর	Abdullahpur
রিশোট	Reshot
ব্যবসায়ীদের	Traders
এসাই	Esai
শিয়া	Shia
দাইমন্দ	Daimand
চ্যানেলস	Channels
কলকাতায়	In Kolkata
হ্যাঁ	Heck yes
এতোবার	So many times
দেক্তে	Dekhte
মতনই	Like
জেনেই	Knowing
হিন্দুগো	Hindus
ক্ষুদে	Small
জুহু	Juhu
বিকাশ	Development
আসেনা৷	It doesn't come.
ইন্সটা	Insta
ঠকানো	Cheating
ফকিরেরা	Fakirs
ভাইতে	In brother
অনতোরংগো	Ontorango
খ্রিস্টান	Christian
রিপ্লাই	Reply
একধম	Monologue
শরীয়াহ	Shari'ah
ডন	Don
অনেকে	Many
পইরাই	Poirai
মার্ক	Mark
থাকবেঃ	There will be:
ফেলায়সে	In Felaise
যাচ্ছেনা	Could not
আল্লহ	Allah
প্রচেস্টা	Efforts
যুগেও	Even in the era
অবাশ্যই	Of course
ঘুরতাছে	Rotating
মাগো	Mago
অল্টাইম	Alltime
আগুন	Fire
সত্যটা	The truth
বিদেশী	Foreign
পড়ি	Read
জনসংখ্যার	Population
ধকল	A mess
ম	M
বাটার	Butter
তেমনি	As such
বহুল	Much
আনুমানিক	Estimated
টু‍‍র	To r
স্টিম	Steam
লাল	Red
পেইজেও	Also on the page
চাচ্ছে	Wants
পোষণ	Nurture
লাথি	Kicking
আহবান	Call
হাজি	Haji
খুনির	The killer
শচীনদার	Sachindar
উৎকৃষ্ট	Excellent
নির	Nir
হচ্ছে	It's
সাংবাদিকই	Journalists
চিকনা	Chikna
খারেপ	Kharep
ফরিদপুরের	Faridpur
সত্যমিথ্যা	The truth is false
নহে	Not
চুর	Chur
সপ্নকে	In the dream
বিন্দু	Point
আপ্নি	You
পছন্দ	Options
আমান	Aman
নাফরমানী	Disobedience
পরদা	The screen
সন্ত্রস	Saints
গুটকা	Gutka
মাদাচুদের	The Madachs
ভালোবাসি	Love
বাঙলু	Bengal
ভারসিটিতে	In Varsity
ইন্দিয়ার	Indyar
থিম্পুর	Thimpu
ফাসির	Fasser
ব্যন্চ	Banch
রিয়েকশন	Reaction
চাফাই	Chaffee
পুরিও	Puri too
উপচ্থাপনা	Conclusions
উবুদের	Ubud's
অতুলনীয়	Incomparable
কখনোসখনো	Never
করলেইয়দারুন	Do it
হাওয়ায়	In the air
হরিদাস	Haridas
নর্থ	North
চাপিয়ে	Imposing
প্লাটিনাম	Platinum
সেদেশে	In that country
হাইলে	Haile
মৌলবাদী	Fundamentalists
ফিন্নি	Finney
নাড়ানোর	Stirring
পিরিয়ে	Pireye
দুজনকেই	Both
এশিয়ান	Asian
কমাবো	I'll cut it
ইস্ট্রিট	Estreet
করতা	Karta
যেটায়	In which
সীমান্তে	At the border
আংহকার	Anghkar
নায়িকাদের	Heroines
ধৈর্য্য	Patience
পার্সোনাল	Personal
জিনিষের	Things
বলতাছেন	Says
থকব	Thack
বর্ষাকালে	During the rainy season
অলিতে	In The Alley
নেশাদ্রব্য	Drugs
সমালোচন	Criticism
এজন্য	For
বাজেটটা	The budget
সেবায়	Service
মদতে	In wine
অথাবা	Athaba
আদমি	Aadmi
নিয়ে	With
নরথ	North
দেখব	I'll see.
রাখতেন	He kept
ওখানকার	There
ক্যান্টিন	Canteen
মানুষেরা	People
বেবেচিলেন	Bebechilen
ধারাভাষ্য	Commentary
বেশুরভাগ	Most
বলাটাই	To say
ফিরবে	Back
বাগানে	In the Garden
গিম্বেল	Gimble
ছাপট	Print
জাহাঙ্গীরনগরে	In Jahangirnagar
রহিম	Rahim
মানলাম	I agree.
কর্নারে	At the corner
রুপি	Rupee
শুক‌তে	To dry
যথেষ্ঠ	Enough
উপজেলায়	In the upazila
নি‌য়ে	Take
ধরাই	Catch
উপ্রে	Upre
স্বাধীন	Independent
হইত	Maybe
হোম	Home
বুজতেন	He understood
পাচ্ছেনা	It doesn't
আহেলী	Aheli
যানাবেন	Go to
আসছো	You're coming
তে	To
রিসেন্ট	Recent
কমখরচে	Low cost
হালারপো	Hallerpo
উজ্জল	Bright
আকারে	Size
গড়	Average
ক্রিসপি	Crispy
বাঁচিয়েছে	Saved
নারী	Female
মানব	Human
কাকাতালীয়	Kakatalia
নওশীন	Nausheen
মুচির	Cobbler
বরাবর	Along with
ছটফট	Quick ness
প্লেইন	Plain
স্বামির	Swami
বেদাত	Vedas
বৃহস্পতিবার	Thursday
প্রাণীর	Animals
কাচ্চির	Kachchi
খাইয়েনা	Don't eat
কিন্তুর	But
খাবি	Eat
চিবাচ্ছে	Chewing
চেনেলে	Chanel
এতোক্ষণ	So far
স্কুলের	School
আজীবনই	Forever.
অমানুষই	Non-human
হাসপাতালের	Hospital
মাশা	Masha
ফালাইছে	Falaise
ঃ৪	- 4
বিজনেস	Business
রসনায়	In humor
ফিরেই	Back
পরিহিত	Worn
রমজানে	In Ramadan
মানছে	Agrees
চেয়ারম্যানকে	To the Chairman
সিলেটী	Sylheti
অঙ্গরাজ্য	State
হয়‌নি	It didn't.
মিশেল	Michel
জড়ীত	Inert
বেসিক	Basic
পোষাবে	To dress up
ক্যামেরাটার	The camera
হবেন	Be
অলিগলি	Alley
চুল	Hair
পুষ্টিকর	Nutritious
আপনারো	Yours too.
ইন্দিয়া	Indya
আয়নের	Ions
রাখতাম	I would keep
বাচচারা	Bachcha
যুমা	Zuma
টাইইটেল	Taitel
গরুকে	To the cow
বাটন	Button
মারাইতে	In Marai
দামোতো	Damoto
টার্ন	Turn
এতবেশি	So much so
বিশ্বাসের	Faith
সালারপুত	Salarput
কতা	What
পরিবেশ	Environment
সংস্থার	The company
স্ক্রীনের	Screen
অ্যারেস্ট	Arrest
বোঝাই	Loaded
ঘুরছি	Moving around
নেভার	Never
নির্যাতিত	Tortured
আফসোস	Sorry.
শুণ্য	Zero
হাঁ‌সিটা	Yes, Sita.
আকবরিয়ার	Akbariyar
রিপোর্টারকে	To the reporter.
৩	- 3
বিতর	Bitar
মামার	Mama's
সংঘটিত	Occurred
গমর	Gomor
আপনাগো	Your own
কেমেরা	Chemera
উদ্দারের	Udder's
আসছেন	Coming
মুভিতে	In the movie
আদিবাসীদের	Indigenous peoples
ডুব্লি	Double
পারলেই	If you can
সত্য্ই	Really.
প্রবেলম	Probellum
আলহাদুলিল্লাহ	Alhadulillah
চিরনবীন	Forever
বাংলাটাও	Bengali too.
বসেই	Sitting
রাঙ্গামাটির	Rangamati
বসলেই	When you sit down
ওনারটো	Onto
আসছি	I'm coming
50হাজার	- 50K
নেয়	Takes
ড্রিগ্রি	Dreary
সুপারমার্কেট	Supermarkets
সন্মান	Respect
জ্বিন	Jinn
দিনাজ	Dinaj
কুমির	Crocodiles
পারবোনা	I can't
বুখের	Bucher
বিবেকবান	Conscientious
খাদক	The eater
বুঝতেই	Understand
ক্ষিদে	Angry
হেপাজতে	In custody
হুলুস্থুল	Hulusthul
নিম্নমুখী	Downgrade
আরোক	More
নোয়াখালী	Noakhali
খেতেও	Also to eat
ইসলামী	Islamic
ওইভাবে	That way
বাইপাস	Bypass
চোদেরে	
মইধ্যে	In the lead
লাগাইলো	It's been
সৌন্দর্জ	Soundaryarja
বশে	
যাদেরকে	Those who
হাজারের	Of a thousand
পিছে	Back and forth
তাইলে	So.
মুসাপুর	Musapur
ঘটেছিলো	It happened
গাউছিয়াতে	In Gauchia
সহজেই	Easily
এহেড	Ehead
ইঞ্চি	Inches
জন্মদিসে	Born
মনে	In mind
চুলের	Hair
ইবিএল	EBL
জলাবদ্ধতা	Waterlogging
উপাচার্যের	Vice-Chancellor
বাচ্য	Speech
পিবি	PB
এন্টিভাইরাস	Antivirus
ভিডিওগ্রাফি	Videography
হাতরালাম	Handouts
এঞ্জাইম	Enzyme
পতিত	Fallen
সংগঠন	Organization
পর্বটা	The episode
করায়	Done
অমানুষে	Non-human
টিশার্টে	On a T-shirt
রমনীগণ	Women
সত্তিকারের	Sathikar
মিসিং	Missing
শুনেন	Listen
রাতরে	At night
খাওয়াইতে	To feed
খাওয়ারের	Eating
লিংক	Link
এন্টি	Anti
এখা	Here
উদ্যোগে	Initiative
মরহুম	Late
ডুবেছিল	Drowned
যেন	So
বেহায়াপনা	Absurdity
চায়না	China
পড়ছেন	Reading
ডিস্কাউন্টে	On the discount
লজ্জিত	Ashamed
জানিয়ে	Let me know.
চুলায়	In the oven
দাঁড়াবে	Will stand
স্পন্সর	Sponsors
রাজধানীর	In the capital
বিগ	Big
জোরে	Loudly
জিন্দাবাদ	Zindabad
লাগাস	Lagas
চোদ	
অভিনয়	Acting
ধারাভাষ্যকার	Commentator
মদিনা	Medina
নিয়েছে	Taken
মেলাতে	To merge
সুযোগটা	The opportunity
যত্তসব	All
মারোয়াড়ী	Marwari
নিশ্চিত	For sure
স্কুলে	School
পেলুম	I found
পিছনে	Back
মেয়েদের	Girls
আইজ	Aiz
দিনমজুর	Daily wage labourers
ছন্দময়	Rhythmic
শুনছি	I hear
দাড়	Stand up
বোডের	Bode
খালি	Empty
বেজন্মা	Unborn
শীতল	Cool
সতিই	Satyi
পয়দা	Poyda
ঠিকাদার	Contractor
দামকে	The price
পাপনরাই	The Sinners
তুলুন	Pick up
গেঞ্জির	Genjir
একসিলেন্ট	Excilant
পানীয়টি	The drink
ভক্ত	Fans
বেংক	Benk
আমারকি	Mine
গায়েব	Missing
4দিন	- 4 Days
রাস্ট্রের	Of the state
নিত	Nit
মান্দারপু	Mandarpu
ডর	Dorr
অপসারণ	Remove
বিদুদ্ধে	Against
উপড়	Upar
খাওয়ানোর	Feeding
বানিজ্যিক	Commercial
ভদ্রা	Bhadra
হারামের	Haram
নাপিত	Barber
ইন্ডিয়ার	India
পিপাষু	Thirsty
অবহেলা	Neglect
নিরবতা	Silence
আল্লহুআকবার	Allahu Akbar
রাজশাহীর	Rajshahi
সায়মার	Saimar
আমলনামা	Amalnama
সর্ব	All
প্রচেষ্টা	Attempting
বমি	Vomiting
জরম্ম	Birth
তুরা	Tura
শরম	Autumn
প্রশ্নবিদ্ধ	Questionable
মেয়েদের	Girls
সাম্নেই	Samnei
গেরামের	Geram's
সম্রাটেরর	The Emperor
জানিয়েছে	Report
নবাব	Nawab
খাইসেন	Khaisen
এসেও	Even here.
লিপ্থ	Lipth
প্রফিট	Profit
টিকিয়ে	Survive
জুয়ারু	Gambler
চোরে	Thieves
ইছছা	Ishcha
ম্যানের	Mann
কদর	Appreciation
কুত্তগুলোকে	To the dogs
থালির	Thali
দলীল	Evidence
পাব	I'll get
চিরকাল	Forever
ছাড়ছেন	Leaving
পরিকল্পনা	Plan
কাটাখালি	Cut-out
গ্লাসে	In glass
সমস্ত	All
জঘন্য	Disgusting
শুক্লপক্ষস্য	Shukla Pakshasya
ছাড়া	Take off
রেস্টুরেন্টা	Restaurants
ক্রিশ্চান	Christian
আর্টিস্টিক	Artistic
কেটে	Cut
থাকলে	If
দূর্বল	Weak
গাজন	Gazan
কইলো	Said
মূর্খরা	Fools
নির্মাতারা	Manufacturers
বিশ্বব্যাপী	Worldwide
ঝুরে	Jhure
সবচেয়ে	Most
রিপ্লে	Replay
খাও	Eat
কাত	Kant
কাইন্ডলি	Kindley
মখুব	Too much
মেয়েদেরকে	The girls
সুজা	Souza
দাত্রী	Midwife
সুনতে	Sunte
উপজেলার	Upazila
তোমরাই	You
ওয়ালিদ	Walid
মুখটারে	In the face
ইজরাইল	Israel
পুড়াইয়া	Burned
কৈত্থিকা	Kaithika
সিরিয়াস	Serious
জানলে	If you know
আওফাও	Awfao
সাভাক্রাইব	SavaCrib
মমলা	Momla
সরমগো	Sarmago
এরিই	Erie
ট্রানশিট	Transsheet
স্কাইলাউঞ্জে	Skylaunge
চাংগা	Changa
মধ্যে	Among
ক্রিকেটবোর্ডের	Board of Cricket
হাজীর	Hajir
পাঙাশ	Pangash
হাশি	Hashi
দিতেছি	I'm giving
ব্যানিজ্যিক	Commercial
জয়েন্ট	Joint
কতটুকু	How much
মনেহয়	I think
ভালভাবে	Well done
ওশুভকামনা	Good luck.
রক্ষার	To protect
বাঁচল	Survive
সাঠে	Sathe
এগুলোর	Of these
কইরো	Cairo
বরপুর	Barpur
সারধন	Sardhan
দুইটা	Two
দামই	The price
স্কিপ	Skip
ম্যাট্রোম্যান	Metroman
তায়ালার	Ta'ala
বোঝাইতে	To explain
সিদ্ধান্ত	Decision
বাইক	Bike
ফলাফলই	The result
পাউয়া	Paua
বেড়াতে	To visit
স্কুল	School
হই‌ছে	It's
ভিড়ে	In the crowd
কেপসাইসিন	Capsaicin
পার্থক	Parth
হাসিটাতো	The smile
স্টূটগার্টে	In Stuttgart
সুজন	Susan
আলহামদুলিল্লাহ	Alhamdulillah
প্রতিষ্ঠাতা	Founders
ব্যক্তিগত	Personal
খবরের	In the news
লসের	Loss
কেউবা	Someone
বুড়া	Old man
অসয্য	Inaccurate
ফুডের	Food
বেচা	Sales
মানা	Mana
দুর্ঘটনায়	Accidents
নেত্রকোনার	Netrokona
আমেরিকার	America
পরার	Wearing
জঙ্গলে	In the woods
লোক	People
ভট্টাচার্য	Bhattacharya
অনুষ্ঠিত	Held
সনতাস	Santas
অবস্তিত	Defunct
চাউমিনের	Chaumin's
ক্রোশ	Crush
জন্মই	Born
মেধাবীর	Brilliant
সিদ্ধ	Boiled
সংমিশ্রণ	Combination
মালিন্দোতে	In Malindo
লিচু	Litchi
চলছেও	Ongoing
অসহায়	Helpless
সেতি	Seti
প্রতারকের	The deceiver
কক্সবাজার	Cox's Bazar
খেয়	Eats
ওহহহহহহ	Ooohhhhh
কোথা	Where
দালালী	Brokers
পুতগরে	Putgare
পঁট	Pont
রেস্ট্রুরেন্ট	Restaurant
চুদা	
জিভাই	Jibhai
পাবেন	Can
নেউ	Now
যুগ	Age
রাবিন্দ্রীক	Rabbinic
ইউজ	Use
এইসমস্ত	All of these
যেতেও	To go
বারবি	Barbie
বাচ্চান	Children
ফজরের	Fajr
ইনফোরমেশান	Infobox
তাহলেতো	Then
চর্বি	Fat
সবই	Everything.
বান্দো	Bando
শপিংমল	Shopping malls
শাক্ষী	Sakshi
ব্যক্তিকেও	The person as well.
সহজতাই	Simplicity
এস্কিন	Eskin
মাইন্ডব্লোয়িং	Mindblowing
সে	He is
নাগা	Nagas
রিচ	Rich
নেওয়াটা	Taking
সর্বক্ষেত্রে	In all cases.
স্বাচ্ছন্দ্যে	Comfortably
বুঝতাম	I understood.
জমুনাকে	Jamuna
বাইর	Bair
মেলানো	Matching
রুপী	Rupees
যেম	Jm
ডায়াগনস্টিক্	Diagnostics
শাস্তির	Punishment
বেধে	In brackets
সনির	Sony's
শামসুর	Shamsur
রান্নাঘরটাও	The kitchen too.
থিং	Thing
ভুমি	Land
অন্যকিছু	Something else
চাচি	Aunt
উচ্চতা	Height
কাড়ি	Curry
ভলেনটিনারদেরও	Volunteers, too.
গেসিলাম	Gaelic
আবেদন	Apply
ভ্রমনগাইড	Travel guide
পায়ায়া	Payaya
টা	It's
কিয়ামত	Doomsday
কিইনটু	Kintoo
জায়গাগুলোর	Places
প্যাকেজটা	The package
সনা	Sona
নিভিয়ে	Extinguished
জনগণের	People
দিয়েতো	With
স্ত্রী	Wife
তায়ালার	Ta'ala
কারের	Carr
ভুবন	The World
জয়	Joy
কান্চন	Kanchon
পাচভাইত	Fivefold
অনুুরোধ	Request
সামনেও	Up front too.
ফালায়	Falay
রেজাল্ট	Results
০০	00
হয়নি	Not
মাইক্রোফোন	Microphone
বাস্তবায়ন	Implementation
বেচার	Poor
রান্নার	Cooking
বিএনপি	BNP
জেনেছিল	He knew
কামান	Cannon
নরুভাই	Narubhai
বাড়ান	Increase
হতাস	Hathas
লাভনেই	No point
চিটার	Cheater
প্রচুর	Many
খানকীর	Khankir
অনুদানে	In donations
দৌড়ের	The race
চাকুরি	Job
দাড়ানো	Standing up
বেড়ানো	Traveling
সারাবিশ্বের	All over the world
খাবারগুলি	Foods
গ্লাস	Glass
ভিপি	VP
চ্যাংরাবান্ধা	Changrabandha
খামচি	Khamchi
নিষেধাজ্ঞা	Restrictions
অর্ডিনারী	Ordinary
পাপানও	Papano
স্বার্থ	Interests
রয়েলের	Royal's
মোক্তার	Moktar
েদাশ	Dash
ভাগ্যবান	Lucky
ফারিয়ার	Fariar
দরতে	At the rate
হিংস	Violent
তাআলার	Ta'ala
কোথাও	Somewhere
পুজা	Pooja
প্রায়ইইই	Often
সাবস্ক্রাইবার	Subscribers
ওয়ালাদের	The Wallabies
কাচ্চিও	Kachchio
হায়াত	Hayat
একপ্লেট	One-plate
হুথি	Houthi
তুললাম	I picked it up
এরিয়ায়	Area
সেল্ফ	Self
বেসসা	Bessa
ব্যাংক	Bank
৬০০	600
থানায়	At the police station
প‌রেও	P reo
দ‌‌েন	The
ধুরমিয়া	Dhurmia
পরতে	To wear
করছিলাম	I was doing
প্রবাসী	Expatriates
বাংলাদেশেই	In Bangladesh
ই্জ্জত	Izzat
অবস্থা	Status
ভালকিছু	Good stuff
বিবাহিত	Married
এলাম	I came
প্রেসেনটেশন	Presentation
লাগ্লেই	Laglai
রুমাল	Handkerchiefs
আসিনি	I didn't come.
দশা	Status
বা‍্লা	Or
ভোজনচর্চা	Eating practices
করিয়েন	Done
ধান্দায়	In the fall
দেখলেন	Saw
ধাবা	Dhaba
মাথার	Head
থেকেও	From
ওইটাতে	In that
প্রিপারেশন	Preparation
পারিলে	If you can
কয়দিনে	In how many days
বিলায়েত	Vilayet
বিদেশিরা	Foreigners
ছপ	Chhap
বেহুশ	Nonsense
অর্থ্যাৎ	i.e.
বইতে	In the book
সমালোচনা	Criticism
নূরা	Noora
ভাব্বে	I think
মঝে	Moose
ইনকামের	Income
নেবার	Take it
মরলে	If you die
গুলাতেই	In the gula
রাষ্ট্র	Country
ইত্যাদি	Etc
রাঙ্গামাটিতে	In Rangamati
আওতায়	Under
জমিয়া	Jamia
অতটা	That's it.
একাত্মতা	Solidarity
নাম্বারি	Numbers
ফয়সালা	Judgment
নেননি	He didn't
জন্মাইসে	Born in
খিচুর	Khichur
শফিউল্লাহ	Shafiullah
ফাহমি	Fahmy
থাব্বর	Thabbar
হিন্দুরাই	Hindus
নিপতিত	Fallen
রেস্ট্যুরেন্টের	Restaurants
সুপারকে	To the super
দেইনি	I didn't
নামবেন	Get down
্আমি	I
বাংলাদেশেতো	In Bangladesh
বাজার	Market
আরার	Arar
দরুণ	Because
১৭	- 17
জিনিয়েস	Genius
আফনার	Afnar
ডোর	Door
বিদ্যানন্দন	Vidyanandan
শিল্পকলা	Arts
পাপড়ি	Petals
গরু	Cattle
বণর্না	Description
ভাজার	Frying
নি‌জের	Ni j e r
জিভে	Tongue
নারকীয়	Hellish
সাজানো	Sorted
সময়টি	The time
পোলাগুলারে	Polagulare
ঐসব	Those
ব্যাবসা	Business
দাড়িওয়ালা	Bearded
দুবাই	Dubai
প্রোগ্রা	Progra
ছেলেকে	Son
বুর্জ	Burj
