असलामवेल्कम	AslamWelcome
उसा	Use it
टॉर	Tor
भीव	Bhiv
गौमुत्रा	Cow urine
जुगड़	Jugaad
नराज	Angry
इंतजार	wait
भला	good
बहिया	Bahia
संजय	Sanjay
यरो	Yarrow
बिस्वास	Biswas
पदता	Position
डैमन	Damon
बंचुका	Banchuka
गुण	quality
अक्षरा	Akshara
लमाओस्डफजकलम्ग	Lamaosdfjklug
उत्तरदैतव	Answer:
बेय	Bye
लाडली	Loved
दीबान	Diban
ओफर	Offers
जोर	effect
फैदा	Benefit
संभालेगा	Will handle
मजे	Interesting
डवर	Davar
गरीबाउन	Poor
रुलायेगा	Will cry
बिगड़ता	Worsening
अस	Us
बलम	lover
उर्मिला	Urmila
गयी	On
मुफतखोरों	Freebies
जब	when
प्धो	Read
उस्क	Usk
शिवरूर	Shivrur
वू	Wu
राहती	Living
आआआआ	Come on.
ब्तायाकी	Tell me
दुगे	Duge
हिम्मत	spirit
चाम	skin
फुचेगी	Fuchegi
राखी	A colourful thread to be tied on the wrist of a brother by his sister
रुमाल	handkerchief
मार्केट	market
कहेगा	Asking
थेले	Bags
सलाम	salutation
उठे	Get up
देखत	Look at
वापिस	Back
खेलके	Games
बनून्गा	Will be
बल्की	But
बनाता	Builds
मुन	Mun
घाने	Ghana
बजरंगी	Bajrangi
जैसे	as
कृते	on behalf of
यी	Yi
हरी	green
लुक	glaze
घरवालो	Family members
भोट	Bhot
अलास	Alas
वरी	worry
दष्त्वीत्स	Visions
गेम	game
जीना	to live
मोनित्र	Monitor
वाडकी	Wadki
भेंचोड	Bhenchod
सेक	SEC
फोड़	Bursting
नमस्टा	Hello
एडम	Adam
हिजो	Hijo
कॉक	
जेसा	Like
बैच	Batch
बीस	the figure of twenty
लड़ाई	fight
चॉकलेटी	Chocolate
रेहाय	Rehai
अरमान	longing
क्री	Cree
मांगते	Asking for
सुनायेगा	Will tell
अकली	Alone
खोल	cavity
तुमने	You
पान्ते	Pante
पधेंगी	Will read
अवनिश्काजला	Avnishkajala
इमांदार	Honest
मुबार्का	Mubaraka
दलालो	Brokers
बानरेहा	Banreha
देखकर	Seeing
तुउ	You are
सोच	thought
लेने	Take
बंदियो	Captives
फिक्स	Fix
सुनी	Heard
विरजी	Virji
फज़लू	Fazlu
च्श्मा	Glasses
सेटिंग	Setting
आर्थी	semantic
आयोगे	Commission
हामले	We
दमल	Damal
कोही	mountainous
चुटियाप	Chutiyap
दाँत	tooth
खानहुम	Khanhum
सहर	Sahar
मझ	Me
फिदातो	Fidato
आ	The second vowel of the Devanagari syllabary
हॉ	Yes
लल	Lala
तुई	Tui
न्क्साइट्फनिस	Nxitfunis
ताभे	
एस्कुचर	Eskuchar
बो	sow
मोम्मी	Mommy
काफर	Kaffar
पुचना	Ask
लवंडियाबाजी	Lavandiyabaazi
शाही	royal
वॉलेटेकर	Voltaker
गोइन	Goin
थोरा	Thora
इंसाल्लाह	Inshallah
पम	Pam
प्ल	Plate
एसिलिये	That's why
लोकपाल	Protector and feeder of the world
रबिया	Rabia
घुमा	Twisting
हेहेहेहे	Hehehe
पहके	Pahke
मार्के	Markey
इम्हो	Imho
ग्वाला	cowherd
जिम्मेदार	responsible
कटी	Chopped
मोरारजी	Morarji
जैब	Jab
ह्म	Hmm
अपसा	Apsa
खैर्नाह	Khairnah
नुंबे	Numbe
काराय	Do it
उठ	Up
केसे	How
सैबलॉगन	Sublogan
शुक्ला	Shukla
धन्यावाद	Thank you
वुम	Wum
लगरे	Lag
अपने	Your
लालू	Lalu
बढ़ने	Grow
डिगे	Dige
घोंट	Suffocation
बेचे	Sold
इंटरवेल	Interval
भिखारी	beggar
मोदीशाही	Modishahi
नशीला	intoxicating
लेइन	Lein
कैलान	Callan
उम्माइड	Hope
पहला	first
बिगड़	Worsening
बिटवा	Bitwa
सुनो	Hey listen
र्हाना	Rehna
गुजारी	Passed away
कैरी	small unripe green mango
पहुँच	arrival
नरेंदर	Narinder
ईस	This is
आभे	Now
मून	Moon
झेला	Catch
लगी	conflict
प्रसून	flower
कोरो	Koro
एलाकाइमाइन	Alakamine
सहीद	Sahid
र्त	
उस्से	From him
सकदा	Sakda
महीने	Month
कराय	Do it
वुगदा	Wudda
मेरे	my
जनेगा	Will know
कहाँ	where
पाइक	Pike
पूरी	A thin bread or cake fried in ghee
उल्टी	vomiting
लागरा	Lagra
बेबकुफ	Stupid
परर	Parr
अकी	Aki
दमदमा	Report of a booming gun
डेंगेई	Dangei
राहेते	Stay
मुक्त	freed
उद्बिलाओ	Excited
अक्टूली	Octoly
मकर्शक्रांति	Makarshkranti
कैन	can
द्रगरेकर	Dragrekar
चिटिया	Chitia
पायुगी	
बागवान	Gardener
उर्ल	URL
मोदिजे	Modije
मलिक	king
बर्क	Burke
रलियाँ	Rails
हटकर	Away
देने	Give
तशन	Tashan
सुधार्ते	Improving
लायक	worth
आज़ादीई	Freedom
रत्रपिता	Father of the night
अब्बा	father usually among Muslim
गर्लफ्रेंड	Girlfriends
टॉड	Tod
किदर	Kidar
जैसस	Jasus
हूर	a virgin of paradise
रिरी	Riri
छ्डंज	Chhandj
पुजारी	priest
मार्ग	way
बत	word
डोगरा	A caste of warriors belonging to Kangra and Jammu regions
चाह्टी	Want
होसियारी	Hosiari
अवे	Away
महनगाई	Inflation
निगम	corporation
गुरुगे	Guruge
ब्टेट	Buttet
खेलेंगे	Play
केना	Kenna
गरीब	poor
अन्होनी	Anhoni
पकडा	Caught
दिमाग	brain
मसग	Masag
पुचो	Ask
मिलिया	Milia
डी	D
ज़बरदस्त	strong
वृंग	Vring
कृपाय	Please
बच्चों	children
डिगा	Diga
संझने	Saanjhne
डॉबट	Dobutt
हरता	Losing
बीइंग	Being
बीकानेर	Bikaner
विशेष	special
धाड़	uproar
पूछ	enquiry
भूषन	Bhushan
चिपक्ती	Sticking
लड़को	Boys
थेक	Thek
झोखा	Jhoka
कही	Where
हेलोग	Hey people
इंतजर	Waiting
श्बे	Shbe
रेनकोट	raincoat
समज़दार	Wise
ओक	Cup formed by joining both hands
सोबको	Sobko
नादा	Nada
पहुच्ते	Arriving
बुआ	aunt
लेगी	Will
दोगी	Will give
टेंशन	Tension
डीखाटीया	Seekhatiya
नमस्करं	Hello
भगने	Run away
लेंनगे	Lange
जादुगर	The magician
बचत	saving
समता	parity
सप्ररर	Saprar
लोंडे	Londe
किस्किडिल्ली	Kiskidilli
एई	Ae
अग्ली	Ugly
कांग्रेस	Congress
जाकार	Go
परत्य	Return
वरत	Above
माइकल	Michael
डवा	Large wooden spoon or ladle
रामदान	Ramadan
कहुँगी	I will say
कौल्ड	Cold
मुल्क	country
जगेह	Wake up
अजाद	Azad
वलेके	Valeke
पल्लूपोवर	Pallupovar
बोल्डे	Bolde
गुउडू	Guudu
तेगा	Tega
समजेंगे	Will understand
टकट	Cut
पड़े	Lying down
फैज़ल	Faisal
हुमारे	Ours
उद्बुलाओ	Bulb
भाईसाहब	Brother,
कार्टी	Carty
हर्कतों	Movements
दुसारी	The other
तन	body
हटाओ	Delete
बुर्रराहा	Burrah
मुसलमानो	Muslims
जजबती	Passion
सोंग	Song
ठंड	cold
जितेंगे	Will win
रहेहो	Are you
नुश्किल	Nushkil
रख्ता	Keep it
किती	How much
डाक	post
पुरानी	chronic
पाकिश्तान	Pakistan
येलुगुरी	Yelluguri
होता	One who offers oblations in a sacrificial fire
कार्लो	Carlo
थेन	Then
छोटू	Shorty
करवाई	Action
लोगप्रियता	Popularity
टैग	tag
डोइंग	Dowing
स्मझकर	Understand
अम्ज़िंग	Amzing
ट्रैफ्स	Truffs
बगैर	Without
खौब	Khaub
तूर	a weaver’s brush
साथ	with
निजामुद्दीन	Nizamuddin
प्रभु	God
पजामे	Pajamas
बनी	Made
हना	Hannah
थक्नाह	Thaknah
निर्माण	building
सायकल	Cycle
मानते	Believe
रोटे	Rotis
पब्लिसिटी	Publicity
जजबे	Judges
लिखे	Written
क्युकी	Because
बजपसामवाद	Rhetoric
चाह्तिहा	I want
उत्सुक	keen
देकिये	Look at
आमद्मिपर्ति	Income
पेसो	peso
जैहू	Jaihu
मात्कस	Matkas
आइंडा	Ainda
भ्र	Bhr
फ्घ्त	Fght
बापू	father
पांजा	Panja
दियो	Deo
घमंडी	proud
मुआ	dead
छपपार	Roofing
डड	Dud
बनौन्गी	I will make
बनादिया	Made
पाने	Get
हिना	myrtle
तुजको	You
मायी	magical
उहूउ	Oooooo
ययाययाय	Yayayyay
बुन	knit
भैय्यो	Brothers
मंत्री	minister
मोरेना	Morena
तरस	pity
वड	Vada
चाकर	servant
नवेम्बर	November
पिस्ट	Pist
जीतेगइंडिया	WingIndia
लुग	Luge
कोसिस	Cosis
मेहँदा	Mehnda
ही	only
चुड़ाई	Chudai
जीतो	Win
हे	O
उतारने	Unloading
श्मता	Shmita
ज़गाह	
दलदे	Dalde
देव	God
मीन	fish
शलुऊ	Shaluu
मिटने	Erase
कहली	Said
एसा	Such
लनत	Shame on
मोंडे	Monde
चोडिये	Chodiya
दिख्थ	Looks like
निकाहटू	Nikahtu
बैब्बर	Babbar
हई	it is there
ठनक	Jingling sound of a silver coin
नगमा	Nagma
उसको	to that
बान	keeper
दवाई	medicine
मेसेज	message
हिप	hip
पॉसी	Posey
सुबुक	light
होटे	
दालना	Putting in
गौरनविट	Gauranvit
काल	time
लगते	Takes
भेजा	brain
थकी	Tired
आसाराम	Asaram
संध्या	evening
भांडारकर	Bhandarkar
देगी	Will
जयगा	Will go
टीयर	Tier
दडबे	Press
मामू	Mamu
स्लमैन	Slumman
भाईईई	Brother
छुआका	Touched
हती	Hati
ममता	affection
पडोसियो	Neighbors
करदे	Do it
करोड़पति	millionaire
मुश्किले	Difficulties
किसानो	Farmers
सूरज़	Suraj
चिन्ता	concern
वालेय	Those who
शब्द	word
आइप	Ip
हूरे	Hoore
मिशेल	Michelle
इंटेहा	Inteha
रुंस	Runs
अनीता	Anita
सचिनिंसन	Sachin Tendulkar
घुसर	Ghummer
जिंदाबाद	Long live
जयजस्थेदिवा	Jayjasthediva
खिलाये	Feed
रुकेंगे	Will stop
भोकली	Bhokli
सुन्न्ते	Sunny
सुजेस्शन	Sujesson
खिंचवाने	To be taken
गुलमोहर	Gulmohar
खिलाफ	reversal
प्रेशन	Pressure
आयगा	Will come
नज़र	sight
डब्बा	box
दिखाने	Show
फसी	Trapped
छा	
डॉपलीज	Doppelles
बोलते	Speak
आडवट	Hurdles
बचपन	childhood
सुचित्रा	Suchitra
जभ	When
चुगलखोर	telltale
अपास	Apas
लिखबडू	Write
अलेकुम	Alekum
सीधा	straight
छाके	Shadows
मुस्काती	Smile
सच्ची	true
भगोरे	Runaway
बजर्नाग	Bajarnag
एंटेना	Antennas
कर	hand
बाजरंगी	Bajrangi
जहानुम	Jahannum
धोनी	Dhoni
बन्नी	bride
अबी	Abi
उधीक	Too much
उसपे	On that
देखती	See
असदुद्दीन	Asaduddin
मांगना	demand
परदा	screen
ऐवी	Avi
फंडा	Funda
गर्ल्स	Girls
पाधकर	Padhkar
हरना	to kidnap
साहब	sir
टेरिया	Teria
हार्दिक	hearty
बादलो	Clouds
आगर	Agar
बद	bad
त्म्हरी	Your son
लिखेंगे	Type
भगो	Run away
दोस्तो	Friends
बैठटे	Sit down
सम्भली	Possible
आपकिसरकर	Your government
ते	To
गौ	cow
सोहने	Sohne
सिदी	Sidi
मच	Mach
हमलोक	We are
बनाई	Created
हिलना	to move
मोहित	fascinated
रोकने	Prevent
बेह	Beh
टिक	stop
आराहा	Araha
कन्हैया	Kanhaiya
लॉगन	Logon
ब्टेजी	Bteji
आइसे	Aise
धब्बा	stain
वोटो	Voto
पान्ती	Panti
बुखे	Hungry
बताते	Show
फ्रैंडशिप	Friendship
गरू	heavy
बच्चा	child
बिगड़ा	impaired
जाओगे	'll
सुपव	Supav
हूँ	am
सोब	Sob
अश्वमेधा	Ashwamedha
सेरिफ	Serif
कोलगेट	Colgate
भूत	ghost
साश	Sash
उपासक	worshipper
वेलकम	Welcome
सुल्तान	sultan
हॉकर	hawker
जोआ	Joa
भगवान	god
बहत्त	Very good
तुजे	You
बालतकारी	Bullying
अजोआ	Azoa
गरमीन	Summer
आएग्ये	Have come
एप्मुस्लिम	Epmuslim
नाज़	Naz
पधुंगा	I will read
गुजरते	Passing
फेंके	Others
स्बक	Sbuck
बोस	Bose
देखओंगा	I will see.
दबाना	to be compressed
लगाओ	Put
चलतेय	Going on
दुगा	Duga
क्रताय	
मिलेनही	Not found
मिर्ची	Chilli
डर्ड	Scared
लाए	Brought
प्दी	P.D.
भूउउत	Bhuut
करेगी	Will
दानिरुधा	Danirudha
फेविकॉल	Fevicol
ऑय	Ayy
लूज़	Loose
देखना	To see
डोंगिरी	Dongiri
पत्ती	small leaf
गोहर	a pathway for cattle
कुसल	Kusal
अक्षर	letter of alphabet
शॉप	shop
कैलाश	Kailash
हरमज़डे	Harmazade
बेस्ट	Best
मिल्टी	Milty
राहत	repose
होगेये	Will it happen?
महाशिवरात्रि	Mahashivratri
बिभुतियो	Bibhutio
फटखे	Bursts
शराबी	intoxicated
व्हाट	What
बुलाओ	Call
चरने	Graze
फोडेंगे	Will break
अभुतपुर्वा	Unprecedented
ज्यादा	more
कोनामी	Konami
पेपर	paper
लैग	Lag
आतंक	terror
इंटरविय	Interview
अब्ब	Abb
बाग	rein
करवा	A pot with a spout
भजरंग	Bhajarang
चिरकुट	bit
धरम	Dharam
पालते	Pet
लिंक	link
लड़कों	Boys
गिफ्ट	Gift
लड़कोयो	Boys
नाल	horseshoe
लाद	tummy
गालिब	Ghalib
आसान	easy
सारा	all
कोच	coach
पाओ	Pao
लेय	Take it
उस्कू	Usku
बकाज़	Bakaz
पंखे	Fan
रेहे	Hey
रामज़डे	Ramzade
मंदिरा	Temple
डोसे	Dose
ह्यूह	Huh
लगा	hook
ऊन	wool
खतरे	Danger
जलवा	Fire
सन्नाटा	silence
थापा	Mark or impression of the palm of a hand
किनी	Kini
चिलने	Scream
बेनामोस	Anonymous
तारी	savior
ब्टाउ	Tell me
इतानी	Itani
राही	traveller
घें	
हस्ते	by hand of
आपनिया	Your
मागी	Magi
आयये	Come on
शास्ता	governor
कॉपी	copy
वुड	wood
हनी	Honey
इत्व	It's
क्रोगे	Kroge
आइयाने	Aiane
कलंक	spot
फुस	soft sound
माचा	Macha
ईस्बार	This time
कमेंट्स	Comments
रवप	Ravp
कल	yesterday
कुंजजीया	Kunjjiya
बिदेसून	Bidesun
झुट	Jhoot
बादल	cloud
काइकु	Kaiku
फेमस	Famous
मा	ma
डुह	Duh
बेना	a fan
हुक	hook
फिरना	to turn
जुखम	Cold
मेह	cloud
मुहब्बत	love
सत्यनाश	Destruction of truth
दुकन्दर	Dukandar
सामने	in front
क्रे	Cray
गेट्स	gates
सायद	Sayed
तलवार	sword
लड़कियाँ	Girls
सब्र	patience
शमत	Shamat
फक्कू	Fakku
अलीकुम	Alikum
हरमके	Haramke
घुमे	Turn around
बुसी	Bussy
पहुँचुंग	Arrive
बचायेंगे	Will save
सालुउउउउ	Salouu
कुर्ता	loose collarless shirt
देराहा	Derah
टोबाकार्ले	Tobacarle
बधाया	Congratulations
देते	Give
सोम्यूज़र	Somuser
फ्लाइट	Flight
देशभाग्तो	Patriots
संस्कृति	culture
दिलेंगे	Will give
साव	Saw
कुछच	Something
जट्टे	Jatte
बेहेंचो	Behencho
सेलेक्ट	Select
मजीद	Majeed
कभी	ever
हुड्डा	Hooda
बौचर	Shower
रोजगार	employment
समना	Samana
तिया	woman
टैटम	Tatum
दिव्या	nymph
टमलोगो	You people
लडवते	Fighting
परबलम	Problem
लाजवाब	unable to reply back
लायो	Bring it
सीटाइन	Cittain
सुधर	Improve
किजेयेगा	Will do it
मिआ	Mia
छे	Good
सिरजी	Sirji
च्लायेगा	Will work
सलामी	salutation
किसका	whose
इंशाल्लाह	Inshallah
गार्बी	Garby
रिया	Ria
धरणा	Dam
मेहेना	Mehena
काहते	Where is it
दी	Given
बजरंगबली	an epithet of Hanuman
भौकली	Bhaukali
फ्लव	Flav
लल्लू	Lallu
दयाराम	Dayaram
पुराने	Old
बने	Made
क्रोगगे	Angry
स्मझे	I understand
बनायेगा	Will make
इंतिजार	Waiting
हम्हे	To us
सेंस	Sense
मात	defeat
थ्राह	Thrah
एर	Er
क्रेगी	Craigie
ब्यी	Bye
कौवा	crow
वार्ना	Warna
जेठा	eldest
ब्दिया	Badia
प्लान	plan
तुझी	Yours
झंद	Flag
ल	The twenty-eighth consonant of the Devanagari syllabary
लोकप्रिया	Popular
अबा	loose cloak or apron
कोंगरेस	Congress
द्वारका	having many gates
लॉक	Lock
पूज्ज्य	Revered
खुदा	Inscribed
रिलीज	release
हल्ला	noise
पनवेल	Panvel
कॉलेज	College
दिजिये	Give it
चोरने	Thief
धारणा	presumption
इवरा	Evra
लौटा	dissuade
मो	Mo
राजीव	lotus flower
एपनिया	Apnea
करोंगे	Will do it
डेन	Dane
भिगने	Soaking
निकाल	eject
गुनाह	sin
कारवानी	Carwani
जिल्ले	District
कास	cough
भांड	pot
डकल	Duckle
पापजी	Papaji
इंग	Ing
ज़मा	Zama
चुटियो	Chutio
सोचती	Think
क्रनय	
पिक्चर	Picture
धासुउ	Dhasu
बदलाओ	Change
ब्रा	bra
पटाखे	firework
दूसरा	second
चर्चा	discussion
उत्ने	Utne
ऊओ	Oh,
ब्मार	Bmar
बातों	Things
जॉनी	Johnny
गन्ते	Gante
रहबारी	Rahbari
हारो	Lose
बॉलिंग	Bowling
अज़ादी	Freedom
अहाहा	Ahaha
कारवती	Karmavati
डिजो	Dijo
धनुष्क्रजा	Bow
सम्मान	honour
एटना	Etna
लिजो	Lijo
चोक	choke
अहा	aha ! excellent
भज	Bhajan
दुश्मन	enemy
हान्ने	Hanne
फाल्थी	Falthi
लो	just see
बिमारी	Illness
सवन्ना	Savanna
भेन्चो	Bhencho
पड़नेवाला	Falling
पुचा	Ask
रख्ना	Keep it
लदको	Ladko
सिकहया	Taught
सुरीली	Surili
मोना	clean-shaven person
भाकी	Brother
दीवाना	mad
छु	Hide
विस्तार	expansion
परफॉर्म	Performance
रीसीप्ट	Receipt
फ्रेम	frame
मटकी	A small earthen pot or pitcher
नाराक	Narak
गिल्की	Gilki
उन्नत	lofty
तेंदुलकर	Tendulkar
मार्जा	Marja
जून	June
अलामारिओन	Alamarion
माचके	Match
फद्दू	Faddu
हद्दियो	Haddio
जिंगी	Jingi
व्हीच	Witch
स्नेहरा	Snehra
टेको	Taco
वंत	Want
बराफ	Baraf
अब्स	Abs
बेथा	Betha
ठेंगा	thumb
अंडा	egg
तुत	You are
वाडिया	Wadia
मिलुंगी	I will meet you
पोंगा	hollow
बिगड़े	Worsened
महान	great
फरमान	Decree
कामो	Kamo
बिका	Sold out
ये	these
माम	Ma'am
नचने	Dancing
केस	hair
अक्दम	Akdam
दाई	nurse
आबाद	of place inhabited
बाबू	a respectable man
घाना	Ghana
गुलमीरा	Gulmira
हुन	Hun
पदाई	Padai
टिकेट	Ticket
श्रष्टि	Creation
आप्नु	Apnu
तुकडो	Piece
हमरे	Our
चांकी	Chunky
पर्चम	flag
इम	Im
एक्डम	Ecdem
टेस्ट	Test
कटुआ	insect which attacks rice
गुड	Good
मंगल	the planet mar
लाग	enmity
वेह	They
चार	four
प्टा	PTA
आलासिस	Alasis
प्रदर्शन	exhibiting
निर्मला	Nirmala
किज	Kij
हेमकिंग	Hemking
स्ट्रोक	stroke
गुद	anus
बाला	an ear-ornament
क्रॉड	Crood
बरती	Good-bending
अक्टन	Akton
चिंता	anxiety
वली	crease
दत्त	given
बिपक्ष	Opposition
चले	Away
कू	Ku
पाँच	the figure five
स्क्टी	Scy
अलग	detached
बाचियो	Bachio
पगली	mad woman
भगतो	Bhagto
छेत्रो	Chhetro
लगवता	Installed
भुक	Hunger
सवेरा	early morning
इश्क़	love
गुमान	conceit
चाह्ये	Want
दूँगा	'll
जबान	tongue
अम्प	Amp
मियाँ	husband
होड	bet
मेवा	fruit especially dry fruit
शीशे	Glass
नायी	New
धन्नसु	Dhanasu
कनून	Kanun
गाटर	girder
बुलाना	to call
फुकरेपन्ती	Fukrepanti
कुड	Kud
ब्लॉकबस्टर	Blockbuster
फुक	Phuk
मैन्नाशे	Mannashe
मीडिया	media
थोडा	little
दू	Give it
इलाज	remedy
सोने	Gold
तिरंगा	three-coloured
झूठ	lie
सुधिगना	Sudhigna
मेको	Meko
लापलापा	Hide
प्रतिब्न्द	Commitment
खुदखुसी	Suicide
बताने	Tell
पहाड़	mountain
लदेगी	Will fight
अडवाटे	Obstacles
जाति	nation
बताओ	Tell
स्वेटर	Sweater
गुयज़	Guyez
शुभम	Shubham
सभ	All
चालना	to sift
क्र	Has
आईयीई	IEEE
यारा	Dude,
केनी	Kenny
चुना	Chosen
बाबा	an old man
कोट्टा	Kotta
पुराना	old
रूहा	Ruha
मगाये	Ask for it
टप	cover
सुधारो	Improve
कार	Car
अल्वेज़	Alves
बजरंगे	Bajrang
चौके	Squares
हमें	To us
जिंदगी	life
ताकी	So that
बत्र	Batra
लेकिन	but
फिक्कर	Fikkar
रैपुर्किदिवा	Raipurkidiva
युगपुरुष	Man of the age or time
लाबनोलसिया	Labanolsia
मटमनो	Matmano
जादू	magic
गज्ज़ाब	Amazing
ओहू	Oahu
कार्ये	Work
वटफ	Watf
सेकंड	second
आदत	habit
सतीक	Satik
क़मीबी	Kami
आयेगी	'll
खाड़ी	bay
प्रोग्राम	program
भारा	Heavy
चलते	Go
पेश	present
सावधान	careful
पड़ता	cost price
बजाने	Playable
तत्ती	Tatti
मुशकल	Mushakal
अकदा	Akda
भरतमता	Filling up
एक्सी	Axi
ज़ारी	Continue
बरोसा	Barosa
अक्षयकनित्कर	Akshaykanitkar
अलसोग	Alsog
फस्वा	Cheating
डांग	Dang
मत्ते	Matte
योग	total
थराफ्से	Tharafse
रथ	chariot
अनक्लेजी	Unclay
जेन	Jane
होके	Hoke
इंसानंजलि	Human beings
भसद	Bhasad
निकले	Ventured
समझे	Got
जरहा	Jarha
नमन	bowing
मेज़	table
तसबीर	Picture
कुश	a sacrificial grass
सो	go to sleep
ब्रे	Bray
बक्वाश	Nonsense
कुटे	Dogs
क्रो	Crow
लकिनहमारी	But ours
ललित	fine
भांग	cannabis
ट्रिक	Tricks
टेम्मी	Tammy
गालियाँ	Abuses
नाच	dance
ह्लव	Halv
वर्जन	taboo
एक्ट	Act
मधुर	sweet
रोयाली	Royale
हामारे	Ours
जानेवाला	Going
केजू	Keju
पिले	Puppies
होना	to be
गुजर	go
कुवह	Kuwah
इस्तिफा	Resignation
रिज़	Riz
हिंदुत्व	Hindutva
रिश्ते	Relationship
अनुलाग	Attachment
रस्त	Rust
एपमैन	Epman
परिचय	introduction
शाहिद	Shahid
आगेय	Ahead
गन्ना	sugar-cane
तोमर	lance
डोन	Don
चिनाल	Chinal
सड़क	road
क्राह	Kraah
लेट	late
नारा	slogan
बोलो	Speak
लिया	took
नेई	Nei
वातवरण	Environment
हमसा	Hamsa
धर्मन्तरण	Conversion
ओवरएक्ट	Overact
आयेंगे	Will come
शरकार	Government
कैप	Cap
महिलयो	Women
बाची	Bachi
झूटे	Liars
हीन	low
दलता	Party
गंड	cheek
बर्रार्रा	Barrara
चहरे	Face
जयदा	More
बेचने	Sell
झूला	swing
बछवाड़ा	Calf
देस	country
सीरियस	Serious
इनशिर्ट	Inshirt
सूगये	Swollen
दिल	heart
मिलेज	Milage
तमाम	whole
बिलान्द	Billand
दोषी	culpable
अमारा	Amara
सुत्ता	Sutta
लाना	to bring
चलाते	Run
खरीदा	Bought
कर्वा	Karva
अर्रे	Arre
बे	Unconstrained
गुजर्जये	Pass by
बतैगा	Will tell
लेका	Leka
अनारी	Anari
एंटी	Anti
पधारे	Come on
गीक्स	Geeks
मैदान	a plain
चहती	Tea
क्रतिति	Culture
कोंसी	Which one?
निन्नी	Ninni
पहाली	See
मोहोल्ला	Mohola
कोन	cone
मेरेको	To me
इस्सी	Issy
फराक	Farak
स्वच्छ	clear
हैप्पी	Happy
पैंड	Pand
हैंन	Hann
मिन	Min
सीत	Sit down
अज	self-existent
आहूजा	Ahuja
नक्र	
हेय	petty
शिबफदकबदक	Shibffaqbadak
चेक	Czech
टवाट	Tavat
विश	Wish
यास	Yes
बडावाना	Increase
चाचाजी	Uncle,
दबकर	Pressed
सक्ती	Compulsion
नोव	Nov
अरविंद	lotus flower
सुत्तेबाज़	Suttebaz
गप्पिस्तान्रदिओ	Gossip
आभा	lustre
पुछ	Ask
यावल	Yaval
थेहिन्दु	The Hindu
इमागिने	Imagine
जन्मे	Born
कहना	to say
इमा	Ima
लाम्बा	Lamba
झोक	inclination
कोठा	Flat top or roof of a house
ख्तम	Finished
क्रेजी	Crazy
बादो	Bado
मिझे	I
साले	Brother-in-law
कैनवास	canvas
टीस	throbbing pain
जॉइन	Join
श्रीवास्तवभाई	Srivastav bhai
क्च	Kach
ट्यूम	Tum
सेक्सो	Saxo
कालू	Kalu
एहो	Eho
फर्क	disagreement
शारते	Sharte
टिंडे	Tinde
काथ	Kath
बात्ट	Butt
बजेगा	Will ring
अपन्या	Your
रंडिको	Randiko
पुछे	Ask
नवजय	Navjay
बछे	Bachhe
मारे	due to
राहूँगा	Will stay
छुपा	hidden
छेड़ते	Tease
सको	Can you
झूठे	Liars
कहदो	Say it
अटल	immovable
एंड	End
नीतियो	Policies
किद्र	Kidr
बच्च	Child
टिम	Tim
कंधे	Shoulder
थ्र	Thr
होगी	hoagy
पेला	assault
जेते	Win
मारनी	Marani
क्राना	Krana
सबक	lesson
स्लैम	Slam
जय	conquest
खोबसूरत	Beautiful
ख्तेय	
ताकेस	Takes
उमा	linseed
ज्यादातार	Mostly
घंटाबजट	Hourly Budget
हिईइइइईई	HieIeee
दुए	Duye
गंडे	Rhinoceros
पालना	to bring up
जिलात	District
उस	that
छ्र	
बतायेगा	Will tell
दखना	Look at
ओसम	Osam
आमद्मिकिसरकार	Government of India
गरम	hot
चालो	Let's go
धूपश्विनी	Dhoopswini
आरहे	Coming
हजारो	Thousands
मनो	Mano
ब्लेस	Bless
महारबानी	Maharbani
वाड्रा	Vadra
बेवकुफ	Stupid
सेट	a set of thing
मुहे	I have
विकेट	wicket
खुमारी	Khumari
पार्न्ट	Parnt
करने	To
आयसे	Aise
हमारी	Our
यंग	young
मांगनी	Ask for
क्रदी	Crunchy
काँटे	Hooks
बूंदी	Bundi
पाधे	Read
जयहिन्द	Jai Hind
मेडर	Mader
घूम	turning
भीगी	Wet
भार्ट	Bhart
चुटीयी	Chuti
कुझ	Kuz
उनकी	Their
मयंक	the moon
मैक्य	Macya
पाल	sail
योजना	plan
उखड़	Uprooted
परवाल	Parwal
सुनती	Listen to
नू	gnu
आप्किदेल्ही	Your Delhi
प्रतिओगिता	Competition
बाचे	Bache
व्हेन	Wen
मंथन	churning
थूकने	Spitting
चोर	thief
आसलियत	Reality
आशीर्वाद	blessing
हमलोग	We
ओहोह	Oh, oh
बूर	Burr
काए	What
गोला	globe
वारे	Winds
गुरुदेव	Gurudev
निई	I don't
लुकिन	Lukin
फटती	Bursting
दीदार	sight
गल्स	Gauls
जया	flag
चढ़ती	Climbs
डबरी	An earthen vessel for water
पोगो	Pogo
फ्र	Fr
रुके	Stayed
पहुचे	Reach
चड़ती	Climbing
खुन	Murder
कृपा	kindness
औगा	Auga
मुकाबला	Combat
वोहू	Wohu
आंदोलन	agitation
डोगा	Doga
स्कूल	School
अदनान	Adnan
छूट	abatement
कचरा	sweepings
हफीज	Hafeez
खुशियाँ	Happiness
कुछ	A few
किट्टी	kitty
निकलना	to come out
बताना	to tell
लेट्स	Let's
आशिक	Ashiq
क्से	Why
बन्ता	Banta
